"hotel","fecha","pickup_pronosticado"
"SPA","22/7/2020","-3.25"
"SPA","23/7/2020","-3.25"
"SPA","24/7/2020","-3.25"
"SPA","25/7/2020","-3.25"
"SPA","26/7/2020","-3.25"
"SPA","27/7/2020","-3.25"
"SPA","28/7/2020","-3.25"
"SPA","29/7/2020","-3.25"
"SPA","30/7/2020","-3.25"
"SPA","31/7/2020","-3.25"
"SPA","1/8/2020","-3.25"
"SPA","2/8/2020","-3.25"
"SPA","3/8/2020","-3.25"
"SPA","4/8/2020","-3.25"
"SPA","5/8/2020","-3.25"
"SPA","6/8/2020","-3.25"
"SPA","7/8/2020","-3.25"
"SPA","8/8/2020","-3.25"
"SPA","9/8/2020","-3.25"
"SPA","10/8/2020","-3.25"
"SPA","11/8/2020","-3.25"
"SPA","12/8/2020","-3.25"
"SPA","13/8/2020","-3.25"
"SPA","14/8/2020","-3.25"
"SPA","15/8/2020","-3.25"
"SPA","16/8/2020","-3.25"
"SPA","17/8/2020","-3.25"
"SPA","18/8/2020","-3.25"
"SPA","19/8/2020","-3.25"
"SPA","20/8/2020","-3.25"
"SPA","21/8/2020","-3.25"
"SPA","22/8/2020","-3.25"
"SPA","23/8/2020","-3.25"
"SPA","24/8/2020","-3.25"
"SPA","25/8/2020","-3.25"
"SPA","26/8/2020","-3.25"
"SPA","27/8/2020","-3.25"
"SPA","28/8/2020","-3.25"
"SPA","29/8/2020","-3.25"
"SPA","30/8/2020","-3.25"
"SPA","31/8/2020","-3.25"
"SPA","1/9/2020","-3.25"
"SPA","2/9/2020","-3.25"
"SPA","3/9/2020","-3.25"
"SPA","4/9/2020","-3.25"
"SPA","5/9/2020","-3.25"
"SPA","6/9/2020","-3.25"
"SPA","7/9/2020","-3.25"
"SPA","8/9/2020","-3.25"
"SPA","9/9/2020","-3.25"
"SPA","10/9/2020","-3.25"
"SPA","11/9/2020","-3.25"
"SPA","12/9/2020","-3.25"
"SPA","13/9/2020","-3.25"
"SPA","14/9/2020","-3.25"
"SPA","15/9/2020","-3.25"
"SPA","16/9/2020","-3.25"
"SPA","17/9/2020","-3.25"
"SPA","18/9/2020","-3.25"
"SPA","19/9/2020","-3.25"
"SPA","20/9/2020","-3.25"
"SPA","21/9/2020","-3.25"
"SPA","22/9/2020","-3.25"
"SPA","23/9/2020","-3.25"
"SPA","24/9/2020","-3.25"
"SPA","25/9/2020","-2.25"
"SPA","26/9/2020","-2.25"
"SPA","27/9/2020","-2.25"
"SPA","28/9/2020","-3.25"
"SPA","29/9/2020","-2.25"
"SPA","30/9/2020","-2.25"
"SPA","1/10/2020","-2.25"
"SPA","2/10/2020","-1.25"
"SPA","3/10/2020","-1.25"
"SPA","4/10/2020","-1.25"
"SPA","5/10/2020","-1.25"
"SPA","6/10/2020","-1.25"
"SPA","7/10/2020","-1.5"
"SPA","8/10/2020","-0.25"
"SPA","9/10/2020","-0.25"
"SPA","10/10/2020","-0.25"
"SPA","11/10/2020","-1.25"
"SPA","12/10/2020","-3.25"
"SPA","13/10/2020","-3.25"
"SPA","14/10/2020","-3.25"
"SPA","15/10/2020","5.75"
"SPA","16/10/2020","6.75"
"SPA","17/10/2020","6.75"
"SPA","18/10/2020","-0.25"
"SPA","19/10/2020","-2.25"
"SPA","20/10/2020","-3.25"
"SPA","21/10/2020","0.75"
"SPA","22/10/2020","3.75"
"SPA","23/10/2020","3.75"
"SPA","24/10/2020","-1.25"
"SPA","25/10/2020","-1.25"
"SPA","26/10/2020","-1.25"
"SPA","27/10/2020","-3.25"
"SPA","28/10/2020","-3.25"
"SPA","29/10/2020","0.75"
"SPA","30/10/2020","0.75"
"SPA","31/10/2020","0.75"
"SPA","1/11/2020","-1.25"
"SPA","2/11/2020","-1.25"
"SPA","3/11/2020","-1.25"
"SPA","4/11/2020","-0.25"
"SPA","5/11/2020","-2.25"
"SPA","6/11/2020","-2.25"
"SPA","7/11/2020","-2.25"
"SPA","8/11/2020","-3.25"
"SPA","9/11/2020","-3.25"
"SPA","10/11/2020","-3.25"
"SPA","11/11/2020","-3.25"
"SPA","12/11/2020","-3.25"
"SPA","13/11/2020","-3.25"
"SPA","14/11/2020","1.75"
"SPA","15/11/2020","1.75"
"SPA","16/11/2020","-3.25"
"SPA","17/11/2020","-3.25"
"SPA","18/11/2020","-1.25"
"SPA","19/11/2020","-2.25"
"SPA","20/11/2020","-3.25"
"SPA","21/11/2020","-2.25"
"SPA","22/11/2020","-3.25"
"SPA","23/11/2020","-3.25"
"SPA","24/11/2020","-2.25"
"SPA","25/11/2020","-2.25"
"SPA","26/11/2020","2.75"
"SPA","27/11/2020","2.75"
"SPA","28/11/2020","2.75"
"SPA","29/11/2020","-1.25"
"SPA","30/11/2020","-3.25"
"SPA","1/12/2020","-1.25"
"SPA","2/12/2020","0.75"
"SPA","3/12/2020","1.75"
"SPA","4/12/2020","3.75"
"SPA","5/12/2020","1.75"
"SPA","6/12/2020","0"
"SPA","7/12/2020","-3.25"
"SPA","8/12/2020","-2.25"
"SPA","9/12/2020","-2.25"
"SPA","10/12/2020","-1.25"
"SPA","11/12/2020","0.75"
"SPA","12/12/2020","-0.25"
"SPA","13/12/2020","-0.25"
"SPA","14/12/2020","-1.25"
"SPA","15/12/2020","-0.25"
"SPA","16/12/2020","-2.25"
"SPA","17/12/2020","-2.25"
"SPA","18/12/2020","-0.25"
"SPA","19/12/2020","0.25"
"SPA","20/12/2020","-0.5"
"SPA","21/12/2020","3.5"
"SPA","22/12/2020","5.5"
"SPA","23/12/2020","8.5"
"SPA","24/12/2020","21.75"
"SPA","25/12/2020","23.75"
"SPA","26/12/2020","23.75"
"SPA","27/12/2020","17.75"
"SPA","28/12/2020","13.75"
"SPA","29/12/2020","15.75"
"SPA","30/12/2020","18.75"
"SPA","31/12/2020","22.75"
"SPA","1/1/2021","20.75"
"SPA","2/1/2021","0.75"
"SPA","3/1/2021","-1"
"SPA","4/1/2021","-0.25"
"SPA","5/1/2021","-0.25"
"SPA","6/1/2021","-0.25"
"SPA","7/1/2021","-1.75"
"SPA","8/1/2021","-2.75"
"SPA","9/1/2021","-1"
"SPA","10/1/2021","-1"
"SPA","11/1/2021","-1.75"
"SPA","12/1/2021","-3.25"
"SPA","13/1/2021","-3.25"
"SPA","14/1/2021","-3.25"
"SPA","15/1/2021","-2.25"
"SPA","16/1/2021","-1.25"
"SPA","17/1/2021","-2.25"
"SPA","18/1/2021","-2.25"
"SPA","19/1/2021","-3.25"
"SPA","20/1/2021","-0.25"
"SPA","21/1/2021","-0.25"
"SPA","22/1/2021","-2.25"
"SPA","23/1/2021","-3.25"
"SPA","24/1/2021","-1.25"
"SPA","25/1/2021","-1.25"
"SPA","26/1/2021","-1.25"
"SPA","27/1/2021","-1.25"
"SPA","28/1/2021","-0.25"
"SPA","29/1/2021","0.75"
"SPA","30/1/2021","0.75"
"SPA","31/1/2021","-2.25"
"SPA","1/2/2021","-3.25"
"SPA","2/2/2021","-3.25"
"SPA","3/2/2021","-1.25"
"SPA","4/2/2021","-1.25"
"SPA","5/2/2021","-3.25"
"SPA","6/2/2021","-1.25"
"SPA","7/2/2021","-3.25"
"SPA","8/2/2021","-3.25"
"SPA","9/2/2021","-3.25"
"SPA","10/2/2021","-3.25"
"SPA","11/2/2021","-2.25"
"SPA","12/2/2021","-2.25"
"SPA","13/2/2021","-3.25"
"SPA","14/2/2021","-3.25"
"SPA","15/2/2021","-3.25"
"SPA","16/2/2021","-3.25"
"SPA","17/2/2021","-3.25"
"SPA","18/2/2021","-0.25"
"SPA","19/2/2021","-0.25"
"SPA","20/2/2021","-3.25"
"SPA","21/2/2021","-1.25"
"SPA","22/2/2021","-1.25"
"SPA","23/2/2021","-3.25"
"SPA","24/2/2021","-2.25"
"SPA","25/2/2021","-2.25"
"SPA","26/2/2021","-2.25"
"SPA","27/2/2021","-3.25"
"SPA","28/2/2021","-3.25"
"SPA","1/3/2021","-3.25"
"SPA","2/3/2021","-3.25"
"SPA","3/3/2021","-3.25"
"SPA","4/3/2021","-3.25"
"SPA","5/3/2021","-2.25"
"SPA","6/3/2021","-2.25"
"SPA","7/3/2021","-3.25"
"SPA","8/3/2021","-3.25"
"SPA","9/3/2021","-3.25"
"SPA","10/3/2021","-3.25"
"SPA","11/3/2021","-3.25"
"SPA","12/3/2021","-3.25"
"SPA","13/3/2021","-3.25"
"SPA","14/3/2021","-3.25"
"SPA","15/3/2021","-3.25"
"SPA","16/3/2021","-3.25"
"SPA","17/3/2021","-3.25"
"SPA","18/3/2021","-2.25"
